,id,longitude,latitude,accuracy,time
156,292,-4.2891879,55.8725127,8.109,13:02:41
157,293,-4.2891238,55.8725386,7.458,13:02:53
158,294,-4.2891082,55.8725587,6.808,13:02:59
159,295,-4.2890951,55.872547,7.588,13:03:10
160,296,-4.289093,55.8725452,7.588,13:03:15
161,297,-4.2891571,55.8723096,7.012,13:03:25
162,298,-4.2892149,55.8720909,6.437,13:03:29
163,299,-4.2891993,55.8720819,10.737,13:03:41
164,300,-4.2891806,55.8720814,12.192,13:03:41
165,301,-4.2888505,55.8720387,16.636,13:03:47
166,302,-4.288757,55.872035,16.207,13:03:59
167,303,-4.2887288,55.8720392,14.751,13:03:59
168,304,-4.2885157,55.8720307,8.19,13:04:05
169,305,-4.2884266,55.872036,30.217,13:04:17
170,306,-4.2880922,55.8718494,22.243,13:04:24
171,307,-4.2877805,55.8717688,26.488,13:04:35
172,308,-4.2875449,55.8717359,21.282,13:04:41
173,309,-4.2872704,55.8717229,21.856,13:04:53
174,310,-4.2872485,55.8717697,18.24,13:04:59
175,311,-4.2871878,55.8719155,7.471,13:05:10
176,312,-4.2871688,55.8719254,7.471,13:05:14
177,313,-4.2869906,55.8719148,7.251,13:05:25
178,314,-4.2866512,55.871895,6.812,13:05:29
179,315,-4.286587,55.8718863,14.157,13:05:39
180,316,-4.2865439,55.8718899,11.398,13:05:44
181,317,-4.2865331,55.8719049,16.78,13:05:56
182,318,-4.2859278,55.8718426,21.771,13:06:02
183,319,-4.2856855,55.8717836,18.101,13:06:13
184,320,-4.2856154,55.8717632,12.377,13:06:18
185,321,-4.2857088,55.8717579,14.96,13:06:29
186,322,-4.285715,55.8716906,49.465,13:06:35
187,323,-4.2859634,55.8712945,5.966,13:06:46
188,324,-4.2859834,55.8712637,5.966,13:06:50
189,325,-4.2860026,55.8712353,6.224,13:07:01
190,326,-4.2860642,55.8711485,6.741,13:07:05
191,327,-4.2860721,55.871139,18.871,13:07:17
192,328,-4.2863543,55.8710498,27.781,13:07:23
193,329,-4.2866106,55.8708479,8.414,13:07:34
194,330,-4.2867549,55.8708119,12.552,13:07:38
195,331,-4.2868368,55.8708261,12.756,13:07:50
196,332,-4.2869234,55.8708455,14.069,13:07:56
197,333,-4.2872149,55.8707783,14.612,13:08:08
198,334,-4.2873444,55.8707589,14.132,13:08:14
199,335,-4.2876813,55.8707927,6.659,13:08:25
200,336,-4.2877329,55.8707976,6.659,13:08:29
201,337,-4.2877449,55.8707549,7.628,13:08:40
202,338,-4.2877525,55.870724,8.001,13:08:41
203,339,-4.2877496,55.8706028,8.747,13:08:44
204,340,-4.2878693,55.8707484,9.387,13:08:55
